model,input_size,params_m,best_map50_95,fps_wall
YOLOv8n baseline,640,3.013,0.18386,33.81
YOLOv5n baseline,640,2.510,0.17513,76.95
YOLOv8n baseline 960,960,3.013,0.25121,69.91
YOLO11s baseline,640,9.432,0.22719,70.29
YOLO11s baseline 960,960,9.432,0.29812,62.13
YOLO11n baseline,640,2.592,0.18238,70.09
YOLO11n baseline 960,960,2.592,0.25067,61.09
YOLO11n-P2,640,2.894,0.19012,65.38
YOLO11n-P2-960,960,2.894,0.25552,55.68
YOLO11n-P2-CoordAttention,640,2.904,0.19044,62.39
YOLO11n-P2-CoordAttention-960,960,2.904,0.25174,52.63
YOLO11n-P2-CoordAttention-SmallObjAug,640,2.904,0.18699,60.63
