model,change,paper_role,status,config,run_dir,weights,metric_source,epochs_completed,final_epoch,imgsz,batch,seed,final_precision,final_recall,final_map50,final_map50_95,best_map50,best_map50_epoch,best_map50_95,best_map50_95_epoch
YOLOv8n baseline,Ultralytics YOLOv8n baseline,external_baseline,completed,configs/train/baseline_yolov8n.yaml,runs/detect/baseline_yolov8n_visdrone,runs/detect/baseline_yolov8n_visdrone/weights/best.pt,D:\yolo-visdrone-project\runs\detect\baseline_yolov8n_visdrone\results.csv,100,100,640,8,42,0.44792,0.34550,0.32253,0.18198,0.32520,78,0.18386,84
YOLOv5n baseline,Ultralytics YOLOv5n baseline,external_baseline_pending,completed,configs/train/baseline_yolov5n.yaml,runs/detect/baseline_yolov5n_visdrone,runs/detect/baseline_yolov5n_visdrone/weights/best.pt,D:\yolo-visdrone-project\runs\detect\baseline_yolov5n_visdrone\results.csv,100,100,640,8,42,0.43588,0.32875,0.30738,0.17350,0.31030,87,0.17513,87
YOLOv8n baseline 960,Ultralytics YOLOv8n baseline at 960 input,fair_resolution_pending,completed,configs/train/baseline_yolov8n_960.yaml,runs/detect/baseline_yolov8n_960_visdrone,runs/detect/baseline_yolov8n_960_visdrone/weights/best.pt,D:\yolo-visdrone-project\runs\detect\baseline_yolov8n_960_visdrone\results.csv,100,100,960,4,42,0.53636,0.41938,0.41663,0.24829,0.42016,89,0.25121,90
YOLO11s baseline,Ultralytics YOLO11s baseline,external_baseline,completed,configs/train/baseline_yolo11s.yaml,runs/detect/baseline_yolo11s_visdrone,runs/detect/baseline_yolo11s_visdrone/weights/best.pt,D:\yolo-visdrone-project\runs\detect\baseline_yolo11s_visdrone\results.csv,100,100,640,4,42,0.52434,0.39325,0.38343,0.22263,0.38937,79,0.22719,79
YOLO11s baseline 960,Ultralytics YOLO11s baseline at 960 input,fair_resolution_pending,completed,configs/train/baseline_yolo11s_960.yaml,runs/detect/baseline_yolo11s_960_visdrone,runs/detect/baseline_yolo11s_960_visdrone/weights/best.pt,D:\yolo-visdrone-project\runs\detect\baseline_yolo11s_960_visdrone\results.csv,100,100,960,2,42,0.58964,0.47587,0.47891,0.29079,0.48901,77,0.29812,77
YOLO11n baseline,Original YOLO11n,baseline,completed,configs/train/baseline_yolo11n.yaml,runs/detect/baseline_yolo11n_visdrone,runs/detect/baseline_yolo11n_visdrone/weights/best.pt,D:\yolo-visdrone-project\runs\detect\baseline_yolo11n_visdrone\results.csv,100,100,640,8,42,0.45440,0.33922,0.31985,0.18066,0.32153,80,0.18238,79
YOLO11n baseline 960,Original YOLO11n at 960 input,fair_resolution_pending,completed,configs/train/baseline_yolo11n_960.yaml,runs/detect/baseline_yolo11n_960_visdrone,runs/detect/baseline_yolo11n_960_visdrone/weights/best.pt,D:\yolo-visdrone-project\runs\detect\baseline_yolo11n_960_visdrone\results.csv,100,100,960,4,42,0.53281,0.41950,0.41538,0.24675,0.42136,77,0.25067,74
YOLO11n-P2,Add P2 high-resolution detection head,ablation,completed,configs/train/yolo11n_p2.yaml,runs/detect/yolo11n_p2_pretrained_visdrone,runs/detect/yolo11n_p2_pretrained_visdrone/weights/best.pt,D:\yolo-visdrone-project\runs\detect\yolo11n_p2_pretrained_visdrone\results.csv,100,100,640,8,42,0.44771,0.35475,0.32695,0.18689,0.33013,86,0.19012,89
YOLO11n-P2-960,Add P2 high-resolution detection head at 960 input,fair_resolution_pending,completed,configs/train/yolo11n_p2_960.yaml,runs/detect/yolo11n_p2_960_visdrone,runs/detect/yolo11n_p2_960_visdrone/weights/best.pt,D:\yolo-visdrone-project\runs\detect\yolo11n_p2_960_visdrone\results.csv,100,100,960,4,42,0.53763,0.42105,0.41846,0.25130,0.42361,81,0.25552,81
YOLO11n-P2-CoordAttention,Add CoordAttention to the P2 model,ablation,completed,configs/train/yolo11n_p2_coordatt.yaml,runs/detect/yolo11n_p2_coordatt_visdrone,runs/detect/yolo11n_p2_coordatt_visdrone/weights/best.pt,D:\yolo-visdrone-project\runs\detect\yolo11n_p2_coordatt_visdrone\results.csv,100,100,640,8,42,0.45375,0.34961,0.32709,0.18764,0.33073,90,0.19044,89
YOLO11n-P2-CoordAttention-960,Increase input size to 960,best_completed,completed,configs/train/yolo11n_p2_coordatt_960.yaml,runs/detect/yolo11n_p2_coordatt_960_visdrone_full,runs/detect/yolo11n_p2_coordatt_960_visdrone_full/weights/best.pt,D:\yolo-visdrone-project\runs\detect\yolo11n_p2_coordatt_960_visdrone_full\results.csv,100,100,960,4,42,0.53390,0.42849,0.41732,0.24945,0.41996,90,0.25174,90
YOLO11n-P2-CoordAttention-SmallObjAug,"Earlier mosaic closing, smaller scale range, light copy-paste, no erasing",ablation,completed,configs/train/yolo11n_p2_coordatt_smallobj_aug.yaml,runs/detect/yolo11n_p2_coordatt_smallobj_aug_visdrone,runs/detect/yolo11n_p2_coordatt_smallobj_aug_visdrone/weights/best.pt,D:\yolo-visdrone-project\runs\detect\yolo11n_p2_coordatt_smallobj_aug_visdrone\results.csv,100,100,640,8,42,0.45208,0.34838,0.32417,0.18507,0.32780,80,0.18699,74
YOLO11n-P2-TOFC-960,Add task-oriented feature calibration at 960 input,candidate_method_boundary,completed,configs/train/yolo11n_p2_tofc_960.yaml,runs/detect/yolo11n_p2_tofc_960_visdrone,runs/detect/yolo11n_p2_tofc_960_visdrone/weights/best.pt,D:\yolo-visdrone-project\runs\detect\yolo11n_p2_tofc_960_visdrone\results.csv,100,100,960,4,42,0.51493,0.41516,0.42496,0.25895,0.42837,84,0.26054,84
YOLO11n-P2-ScaleGate-960,Add identity-initialized scale-aware adaptive gate for P2 features at 960 input,adaptive_method_candidate,completed,configs/train/yolo11n_p2_scalegate_960.yaml,runs/detect/yolo11n_p2_scalegate_960_visdrone,runs/detect/yolo11n_p2_scalegate_960_visdrone/weights/best.pt,D:\yolo-visdrone-project\runs\detect\yolo11n_p2_scalegate_960_visdrone\results.csv,100,100,960,4,42,0.51906,0.41361,0.42609,0.25947,0.42897,90,0.26148,90
YOLO11n-P2-CSGate-960,Add cross-scale P2/P3 consistency gate after mixed ScaleGate evidence,second_cycle_candidate_pending,completed,configs/train/yolo11n_p2_csgate_960.yaml,runs/detect/yolo11n_p2_csgate_960_visdrone,runs/detect/yolo11n_p2_csgate_960_visdrone/weights/best.pt,D:\yolo-visdrone-project\runs\detect\yolo11n_p2_csgate_960_visdrone\results.csv,100,100,960,4,42,0.54139,0.41939,0.44323,0.26915,0.44603,86,0.27207,86
